stem,stem_translit
čōb,cwp
zad,MHYTWNtn
bēšīd,byšytn
ašnaw,ʾšn
srawēnīd,slwbynytn
paydāgīh,pytʾkyh
appurd,YHNCLWNtn
hammōxt,hmwht
kirbakkarān,krpkḵlʾn
mizd,mzd
bazakkarān,b'ckḵlʾn
tōz,tw
nihād,HNHTWNtn
šaš,šš
daxšag,dhšk
mehmān,mʾhmʾn
wišād,wšʾ
dāšt,dʾštn
haft,hpt
druz,dlwc'
wārom,wʾlwm
ahōšīhā,ʾhwšyhʾ
waxšēnīd,whšynytn
apatītīgīh,ʾptytykyh
hašt,hšt
brīd,PSKWNtn
ōgārd,ʾwkʾltn
petīt,ptyt
noh,nh
raw,lw
šnāxt,šnʾhtn
xwāst,BOYHWNstn
magind,mknd
yār,yʾl
niyōxš,ndwhš
šaš,600 20 <Y> 7
pas az,AHL MN
wīst,20
bay,b y
yazdgird,yẕdkrt
šāhryārān,štr'ydʾlʾn
abarwēz,ʾp̄lwyc
frāz,prʾc
wāz,w
būd hēnd,YHWWNt HWEd
pādixšāy,pʾthšʾdyhʾ NYŠ
wahmān,wʾhmʾn
rōstāg,lwtstʾk
deh,MTA
kanīzag,knyck
ē,HNA
pādixšāy,pʾthšʾd
duxt,dwht
pid,AB
stūrīh,stwlyh
ayōgānīh,ʾywkʾnyh
padīrift,MKḆLWNt
padīr,MKḆLWN
ēk,ʾyw
tarsāgāh,tlskʾs
warzīd,wlcyt
wardēm,wltm
banūgīh,bʾnwkyh
wastarag,wstlg
xuft,hwpt
paymōxt,ptmwht
sāmān,sʾmʾ
passazag,psck
xūb,hwp'
frazand,prẕn'd
wind,HŠKHWN
sahist,MDMENst
dōšīd,dwšyt
drahm,ẔWẔN
āwar,ʾwb
asēm,ʾsymy
mar,ml
az nūn frāz,MN KON prʾc
abaxt,ʾbht
dād hēm,dʾt HWEm
mādag,NKḆ
kard hēm,krt HWEm
har ka,KRA AMT
dād,dʾ
xwāst,hwʾst
wihānag,bhʾnk
abespārēm,ʾp̄spʾlm
mādag,mʾtg
pāyandān,pʾydndʾn
padīrift,MKḆLWNt͟y
dādistān,DYNA
ǰādag,yʾtk
gōw,gwb'
pahikārd,ptkʾlt'
xwāst,BOYHWNst
wizōst,wcwst
dib,dp
gugāy,gwkʾd
čīd,cyt
pōryōtkēš,pwlywtkyš
pānzdah,15
and,ʾnd
šawēm,OZLWNm
xwēs,hwyš
būd hēm,bwt HWEm
dēwān,ŠDYAn
wattarān,SLYtlʾn
bun,b
rošn,lwšn
tārīkīh,tʾlykyh
hubōy,hwbwd
adādestānīh,ʾDYNAyh
abaxšāy,ʾp̄'hšʾ
anāmurzišn,ʾnʾmwlcšn'
čim,cm
ēdōn,ʾytwn'š
wurrōy,wlw
mayānǰīgīhā,mdyʾncykyhʾ
xrad,hlt'
gumān,gwmʾn
saz,s
āfrīd,ʾp̄ly
būd,bw
gayōmart,gʾywmlt
spadarmad,spndrmt
mihrē,mtr'yh
mihryānē,mtr'yʾnyh
fradom,AWLA
frēzbān,plycpʾn
ak,ʾ
menīd,mynytn
ayād,ʾḇyḏʾ
ǰud,ywt
āstawān,ʾstwpʾn
yašt,yšt
awardāg,ʾwltʾk
wattarīh,SLYtlyh
ēsnīh,ysnyh
wizīd,wcytn
rāyēnīd,lʾdynytn
kišwzār,kyšwcʾl
warzīd,wlcytn
gōspand,KYNA
se ēk,3#ʾywk
šab,šp
hērbed,hylpt
šab,LGLYA
ābād,ʾp̄ʾt
āsāy,ʾsʾd
wahišt,whšt'
ak,
kanār,knʾ
harwisp,hlwsp
ōy ī,OLE Y
baw,
baw,YHW
abesīh,ʾp̄s
murnǰēnīd,mlncynyt
sōšāns,swšʾns
harwīn kas,hlwyn' AYŠ
wišuft,wšwptn
stōš,stwš
činwad,cynwpt
mad,mtn
frārōn,plʾlw
uzwān,ʾwzwʾn
āštīh,ʾštyh
hamīh,hmyh
z,c
būd,bwtn
warz,wlcyn
ēstēm,YKOYMWNm
kēš,kyš
stāyēm,stʾdym
burzēm,bwlcm
wurrōyēm,HYMNNm
axw,ʾhw'
awindīd,ʾwndyt
gōw,my
agriftār,ʾglptʾl
grift,glpt
kun,kwn
ēst,ʾys
ārzōg,ʾlcwk'
gētīg,gyty͟d͟y
hil,ŠḆKW
pāy,NTLWN
patačaṇbiiō,patačaṇbiiō
aškamb,KLYSE
mādar,AMYtl
grīw,CWLE
abgan,LMYTW
drahnāy,dlhnʾd
and čand,ʾnd cnd
karr,kl
gung,gwng
kunīh,OḆYDWNy
zand,znd
pēš az,LOYN MN
dādestān,dʾtstʾn
astānag,ʾstʾnk
bārestān,bʾlstʾn
hāsar,hʾsl
zan,MHYTW
āz,ʾc
arešk,ʾlyšk
niyāz,nydʾc
wīdwar,ytwl
anāštīh,ʾnʾštyh
asmān,ʾsmʾn
garōdmān,glwdymʾn
spōz,spw
škoft,škwpt
dast,dst
gīr,gyl
tang,tng
zad,zt
nifrīdag,nplytk
šāy,šʾ
baxš,HLKWN
āzār,ʾcʾ
amar,ʾml
kirrēnīd,klynyt
bast,bs
im čim rāy,ʾm cym lʾd
dah,YHBW
bāmdād,bʾmdʾt
gōw,YMRR
xwāst,BOYHWst
ēbārag,ʾdywʾlk
āmurzēm,ʾmwlcm
ēdōn čiyōn,ʾytwn cygwn
ast,ʾst
mihōxt,mytwht
āfrāh,ʾplʾs
tuxš,twh
iz ka,yc AMT
nihuft,nhwpt
āškāragēnīdārīh,ʾškʾlʾkynytʾlyh
ōwōn,ʾwgw
kōxš,kwh
kadār,ktʾl
awardāgtar,ʾwltʾktl
hazār,hcʾ
huzār,hwcʾl
adādīh,ʾdʾtyh
frahist,plhyst
šud,OZLWN
kard,kr
dēwān,ŠYTAʾn
āškār,ʾškʾl
abesīhēn,ʾp̄shy
rast,lst
azdahāg,ʾcydhʾk
paywast,ptwst
meh,myh
āfrāh,ʾp̄lʾs
wizōy,wcwd
urwāz,ʾwlwʾ
xwāh,BOYHW
ēr,ʾdl
passand,psndy
warzīg,wlcyk
kun,OḆYDWNy͟t
framōš,plmw
frasāwand,plsʾwnd
barēd,YḆLWNy͟t
hamē,hmʾ
bawē,YHWNNydy
zāyē,Y̱LYDWNydy
xwāh,hwʾ
rāy,lʾ
hammōxt,hmw
wirāst,wylʾ
har tis,KRA
wisp,wsp̄
rēdak,lytk'
winārd,wynʾlt
rēdak,lytk
kaš,kš
pēš ī,LOYN' Y
ēstād,YKOYMWNʾt
stāy,stʾd
framāy,plmʾy
niyōxšīd,ndwhšytn
būd hēm,YHWWNt HWEm
niyāg,nydʾk
kām,kʾm
xīr,CBW'
abāyist,ʾp̄ʾdst
widard,wtlt
any,AHRN
bahr,bʾh
stūr,swl
brahm,blhm
čābuk,cʾp̄wk
dāšt hēm,dʾšt HWEm
hangām,hngʾm
dād hēm,YHBWNt HWEm
saxt,sʾht
awištāft,ʾwštʾp̄t
hādoxt,hʾtwht
bay,wʾnyy
niyōxšīd ēstād,ndwhšyt YKOYMWNʾt
nibēg,npyk
raγ,lgӯ
bārīk,bʾlyk'
angust,ʾngwst
frazānīg,plcʾnyk
aswār,aswbʾl
kamān,km
dad,dt
tar,LCDr
widard,wtʾltn
nēzag,nyckw
nēzag,nyck'
šamšēr,šmšyl
rān,lʾn
nibard,nplyt
asprēs,ʾsp̄lys
čawgān,cwpkʾn
anāsūd,ʾnʾswt
kašak,kšk
azēr,hcdl
apargūdīhā(?),ʾp̄lgwtyhʾ
iz,c'
gōy,lwd
raγ,lʾk
čōb,ckw
čawgān,cwpykʾn
sūr,swr
win,wn'
barbut,blbwt
tambūr,tmbwl
kennār,knnʾl
srōd,slwt
čegāmag,cykʾmk
paywāz,ptwʾ
pā,pʾ
wāz,wʾc
awestād,ʾwstʾt
stāragān,stʾlkʾn
abāxtar,ʾp̄ʾhtl
šud hēm,OZLWNt HWEm
čatrang,ctlng
nēw,nyw
ardaxšīr,ʾlthšyl
pāy,pʾy
hamahl,hmʾhl
zamb,zmb
bast,bstn
rēšag,lyšk
windād,wndʾt
gušnasp,gwšnsp
nišīnēm,YTYBWNm
sah,MDME
framāy,plm
nigerīd,nkylytn
ārzūg,ʾlcwk
hē,HWEydy
brahmag,blhmk
gušnag,gwšn
wahīg,whyk
māh,mʾ
parward ēstēd,plwlt YKOYMWNyt
rūd,lwtn
ambarag,ʾmblk'
āb,ʾp̄
handūd,hndwt
sēn,syn
frabīh,plpyh
spēd,spyt
bāg,pʾk
poxt,pwhtn
šakar,škl
tabarzad,tplzt
passandīd,psndyt
ē,H
fraš,plš
pōr,pwl
karak,krk
tadar,ttl
tīhōg,tyhwk'
dumb,dwm
parr,p
sī,sy
unknown,syt
čakōk,ckwk
parward,plwl
kulang,klng
čarz,clz
māhīg,mʾhk
kabk,k'pk
anǰīr,ʾncyl
xašēn,hsyn
sār,sʾl
karak,nkd
ǰuwān,ywbʾn
šāhdānag,šhdʾnk
ǰaw,Šky
rōγn,MHŠYA
zaytān,ztʾn
tāxt,tʾhtn
pēš pad,pyš PWN
ī,ӯ
kušt,NKSWNtn
āgust,ʾkwstn
gardan,gltn'
āgust,ʾk
sōrābag,swlʾp̄k
brišt,blyš
murw,mwl
dumb,dwmb'
nazdīk,nzdyḵ
afsard,ʾp̄slt
gōr,gwl
gawazn,gwʾzn
warāz,wlʾc
uštar,GMRA
kawādag,kwʾtk
gawdar,gwtl
sāl,sʾ
mēš,myš
hūg,HZWLYA
gawdar,gwl
aspast,ʾspst
pīh,TLBA
sik,HLYA
truš,tlwš
rōb,lwwyn
halām,hlʾm
xāmīz,hʾmyc
tarr,tl''
xargōš,hlgwš
wušmurw,wšmwl
dil,dyl
tadar,tl
gugār,gwkʾl
āhūg,ʾhwk
mādag,mʾtk
starwan,stlwn
afsard ēstēd,ʾp̄slt YKOYMWNyt
rōγn,lwwn
xward,hwlt
nēk,nywk'
hāmīn,hʾmyn
ān,ʾn'
lawzēnag,lwcynk
gōzēnag,gwzynk
gōz,gwc
afrōšag,ʾp̄lwšk
brēz,wlycyn
zamestān,ẕmystʾn
šiftēnag,šptynk
wafrēnag,wplynk
gišnīz,gšnyc
abarag,ʾp̄lk
sēb,syb
bēh,wys
sēm,sy
ambag,ʾmbk
xiyār,hʾl
wādrang,wʾtlng
pōst,pwst
bēh,byh
sinǰibīl,hyngpylc
halīlag,hlylk
tarr,tlrr
sinǰībil,snggpyl
čīn,cyn
pursīd,pwrsy
dārēnag,dʾrynk
anārgēl,ʾnʾlgl
hindūg,hndwk
xwān,KLYTWN
pārs,pʾls
bistag,bstk
gurgān,gwlgʾn
sōr,swl
āb,ʾp
brēz,blcn
naxōd,nhwt
xormā,Tg
hērtīg,hyltyk
āgand ēstēd,ʾknd YKOYMWNyt
šiftālūg,šptʾlwk
arminīg,ʾlmnyk
balūt,blwt
tabarzad,tplztk
razur,lcwl
pāzen,pʾcn'
brišt ēstēd,blšt YKOYMWNyt
gugārd,gwkʾlt'
aškamb,ʾškm
kanīg,knyk
wirāy,wylʾdyn
harēwag,hlywk
marwrōd,mlwlwt
bust,bst
bādag,bʾtk
hulwān,hlwʾn
asūr,ʾswl
bādag,wʾtk
wāzrang,wʾzlng
huniyāgar,hwnydʾkl
čang,cng
srāy,slʾd
kennār,knʾl
sūrāzīg,swlʾcyk
must,mws
nāy,nʾd
dumbalag,dwmblk
unknown,shʾnlyk
unknown,dylyk
rasan,lsn''
zanǰīr,zncyl
wāz,wʾcy
čambar,cmbl
tās,tʾs
wand,wn
andarwāy,ʾndlwʾd
karmēr,klmyl
suxr,dhwhl
spar,spl
gōy,gwd
sel,sl
dašn,dš
warz,wlz
šīšag,šyšk
kabīg,kpyk
xwaš,hwš
kanīg,knywk
nēkōg,nywkwk
āwāz,ʾp̄ʾc
gōwē,YMRRWydy
xāmīz,hmyc
bazm,bzm
āwurd,ʾwlt
weh,ws
šām,šʾm
handūd,hndw
xuft,HLMWNt
yāzdah,yʾcdh
sprahm,splm
yāsimīn,yʾsmyn'
sprahm,splym
kētīg,kytyk
gul,gwl
unknown,unknown
nargis,nlgs
hērīg,hylyk
suxr,swhl
zard,zlt
rōspīg,lwspyk
kāpūr,kʾp̄wl
saman,smn
sōsan,swsn
marw,mlw'
wanafšag,wnpšk
kanīz,knyc
esprahm,splhm
mōrd,mwlt
dahibedān,dhptʾn
nīlōpal,nylwpl
marzangōš,mlcngwš
bizešk,bcšk
spēd,spy
palangmušk,plngmwšk
wayōg,wywk
kūpal,kwpl
nastaran,nstln'
munǰ,mnc
škōf,škw
škōft ēstēd,škwpt YKOYMWNyt
sīsīmbar,sysymbl
āzād,ʾcʾ
sprahm,splhm
yāsaman,yʾsmyn'
dwāzdah,dwʾcdh
mard,mlt'
mayānǰīg,mdyʾncyk
war,wl
pahn,pʾhn
kūn,kwn
hambast,hmb'st
kōtāh,kwtʾh
bārīk,bʾlyk
dagrand,dglnd
handām,hndʾm
narm,nlm
saxt,dšt
āgand,ʾknd
pestān,pstʾn
wafr,wply
anārgōn,ʾnʾlgwn
wādām,wʾtʾm
lab,lp
wassad,wsty
brūg,blwk
dēs,dys
gēsū,gysw'
rōšn,lwsn'
ašarmīhā,ʾšlmhʾ
sēzdah,sycdh
bārag,bʾlk
astar,KWTYNA
bayaspān,byʾsp̄ʾn
xub,lʾst
kanīzag,krpk
mašk,mk
abarzēn,ʾp̄lzyn'
ud,Y
rām,lʾms
anōš,ʾnwš
framūd,plmwt
ǰār,yʾwl
dwāzdah,12
uzmāy,ʾwzmʾd
wirāst,wylʾs
rasēm,YHMTWNm
dēnār,dynʾl
pas az ān,AHL MN ZK
ēw,ʾyw
ō pēš,OL LOYN'
frēstīd,ŠD͟RWNyt
nibišt,nyp̄
nibišt ēstād,npšt YKOYMWNʾt
padēx,ptyhw
āhōg,ӯʾhwk
āxwarrestān,ʾswlstʾn
spōxt,spwh
andar zamān,ḆYN ẕmʾn
āwar,YHYTYW
dīd,HẔYTWNt
hilē,ŠḆKWNydy
padīrē,MKḆLWNydy
kard hē,krt HWEydy
abespārē,ʾp̄sp̄ʾlydy
hilēm,ŠḆKWNm
wizārē,wcʾlydy
iz zamān,yc ẕmʾn
gašt,gšt
raft,SGYTWNt
wizārd,wcʾlt
widār,wtʾl
nišast,YTYBWNst
kamand,kmnd
abd,ʾp̄d
ōzad,Y̱KTLWNt
marz,mlc
rasīd,YHMTWNyt
grift,OHDWNtn
zan,zn'
passox,pshw
wizārd,wcʾlt'
ašnūd,OŠMENt
hišt,ŠḆKWNt
az,MNW
weh,wyš
az ān frāz,MN ZK prʾc
agār,ʾkʾl
abēzār,ʾp̄yzʾl
waštag,wštk
abespār,ʾp̄sp̄ʾ
passand,psnd
pad čē,PWN ME
stāy,s
niger,nkylyn
uskārd,ʾwskʾld
axwēš,ʾhwyš
stāyīd,stʾdy
zil,zyl
čarb,clp'
nihād,nydʾ
hamhā,hmhʾ
wēnābdāg,wynʾp̄tʾk
tar,tl
zīrk,zylk
stūd,stw
burz,bwlcyn
raz,lc
hušk,hwšk
sāyag,sʾdk
burzīd,bwlcy
wiyābān,ydʾp̄ʾn
tarr,tl'
asūd,ʾswt
kun,OḆYDWNy͟
mēhan,myhn'
stūn,stwn
frawār,plwʾl
frasp,plsp
uskār,ʾwskʾl
grift,glp
wistāx,stʾy
kariš,wl kyh
pay,pdy
šarāzag,šrʾck
mast,mst
kōf,kwp
franām,plnʾp
razūr,lcwl
zōr,zwʾl
uzmāy,ʾwz
mānag,mʾn
sturd,stwlt
darr,B
hambun,hmbwn
āmēz,ʾmy
gyān,yʾn'
afsārēn,ʾp̄sʾly
dast,YDE'
pušt,pwšt'
zūr,zwl
drāyēn,dlʾdy
āhōg,ʾhwk
nām,nym
drāyīd,dlʾdytny
nang,nn
ōbast,ʾwps
ēraxt,ʾylh
rōz,lwc'
wattar,wtl
saftag,sttk
wattarīh,wtlyh
bān,bʾn
bast,ḇstn
dahol,dhwl
kōšt,kwšt
halam,hlm
wāl,wʾl
unknown,yhmnn
itān,tʾn
ōgārd,ʾwgʾlt
xwāstag,KYSK
spōz,swpw
kard,kld'
āwēnēm,ʾp̄ynym
šnās,šnās
ačāragīhā,ʾcʾlkyhʾ
wardē,wltydy
raft hēm,lpt HWEm
wazīd,wcyt
kustag kustag,kwstk kwstk
wizōst,cwst
mānsar,mʾnsl
nāmag,nʾmk
kard hēm,OḆYDWNt HWEm
wizīdār,wcʾltʾl
grift hēm,OHDWNt HWEm
stāyīd,stʾy
z,yc
wizāyīdār,wcytʾl
ačārag,ʾcʾlk
ōrēb,ʾwlyp
pad,[PWN
uskār,]ʾwskʾl
wīr,]wyl
xrad,]hlt
čāštag,cʾštk
pahrtar,pʾhltl
kōr,kwl
stard,stlt'
widard,wtʾlt
wistāx,ystʾhw
pad pēš,PWN pyš
kamar,kml
abrāz,ʾp̄lʾcyn
šalwār,šlwʾl
gulgōn,gwlgwn
mōzag,mwck
paštag,pštk'
saxtag,shtk
sēnag,synk
mān,mʾnyn
xward,OŠTENt
dūd,dwt
yāft,yʾp̄t'
wany,HWBN
pīlag,pylk
gilag,gylk
kand,kn
tis tis,MNDOM MNDOM
durd,dlt
xumb,hwmb'
tuhīg,twhyk
mānd,mʾn
ganǰ,gnz
appurd,ʾpl
ǰām,ksm
škast,šks
zang,zng
azōr,ʾzwl
tars,DHLLWN
wih,wy
lābag,lʾp̄k
xwān,KLYTW
niger,nk
pašēmān,pšʾmʾn
čār,cʾl
baxt ēstēd,bʾht YKOYMWNyt
darmān,dlmʾn
dram,dlm
sang,sng
āmēxt,ʾmyhtn
šnāxt,šnʾht
dāng,dʾng
fradāg,pltʾk
ma,AL HT
mad ēstād,mt YKOYMWNyt
hāwan,hʾwn'
škēbāg,škypʾk
dast,ds
kōstan,kwstn'
parnagān,plnykʾn
wīdwar,bytwl
wēxt,wyhtn
abar,ʾp̄yl
kafčag,kpck
abestān,ʾp̄stʾm
abgand,LMYTWNtn
čē,c Y
xward,hwltn
sūd,sw
āfrīd,ʾp̄lyt
ud,wʾckyhʾ
stānēm,YNSḆWNm
dahēm,YHBWNm
sad ud panǰāh,100 50
nawad,90
mowbed,mgwpt
kard būd,krt' YHWWNt
pādixšāy,ŠLYTA
men,myn'
azadār,ʾztʾl
˚kardan,krtn'
āštīh˚,ʾštyh
˚nē,LA
ǰang˚,yng
hišt,ŠḆKWNtn
padīrift,MKḆLWNtn
xēšm,ʾmym
dād,dʾtn
gugāy,gwkʾdy
frēft,plyp
bēš,
frēst,plys
im,ʾm
handēmān,hndymʾn
ō āgenēn,OL#ʾknyn'
xward,hw'ltn
handāxt,hndʾhtn
hašāgird,hšʾkrt
gumārd,gwmʾltn
ēg,ʾywk
sālār,srdʾlʾ
paywast,ptwstn
ǰah,y
sah,sh
sīstān,sgstʾn
ēk,ʾywk'
hēlmand,hytmnd
frazdān,plzdʾn
zrēh,zlyh
kayānse,kyʾnsyӯ
gar,gl
ušdāštār,ʾwšdʾštʾl
ōšīdar,ʾwšytl
ōšīdar,'wšytl
spitāmān,sp̄ytʾmʾn
rist,lst
āxēz,ʾhc
tōhm,twh
dahibedān,dhywptʾn
wizend,wznd
frēdōn,plytwn
salm,slm
hrōm,hlwm
tūz,twc
turk,twlk
ēriǰ,ʾylyc
nīd,DḆYLWNt
nihān,nyhʾn
dah,h
zād,Y̱LYDWNʾt
frazdān,plcdʾn
ardwīsūr,altwyswl
anāhīd,ʾnʾhyt
ārāst,ʾlʾstn
mānūščihr,mʾnšchl
wištāsp,wštʾsp
rawāgīh,lwbʾkyh
sēn,syn'
ahūmstūd,ʾhwmstwt
bust,bwst
hāwišt,hʾwšt
būd,YHWWNt HWEd
čāšt,cʾšt
panǰāh,50
nask,nsg
duzd,GNA
sar,sync'
burz,bwlc
windād,HŠKHN
gizistag,gcstk
aleksandar,ʾlksndl
hrōmāy,hlwmʾ
brēh,blyyh
mow,mwg
raft hēnd,SGYTWNt
grift hēnd,glpt
ōzad hēnd,Y̱KTLWNt
āmad hēnd,YATWNt HWEd
aburnāy,ʾp̄lnʾy
ōst,ʾwst'
kard ēstād,klt YKOYMWNʾt
pad čē ān rāh,PWN ME ZK lʾh
gašt,gšt'
ārāst,ʾlʾst
wirāst,wylʾst
enyā,ʾdynyʾ
hādōxt,hʾtwht=ʾy
framāy,plmʾdyn
nibišt,npšt
ašəm,ašəm
ērān,ʾylʾn'
šahr,št
gōkān,gwkʾn
ayādgār,ʾḇyḏʾtkʾl
nibišt ēstēd,npšt YKOYMWNyt
kust,kwst
samarkand,smlkn'd
kāyōs,kʾyws
fragand,plknd
frazāmēnīd,plcʾmynyt
wahrām,wlhlʾn
nišāst,YTYBWNʾst
hazār ud dō,1000 W 2
fragard,plglt
taxtag,tʾhtk
kand,knd
skandar,swkndl
sōxt,swht
drayāb,dldʾp̄
sugud,swkwd
āšyān,hwtʾyʾn
ēd kū,HNA AYK
manūčihr,mnwcyhl
luhrāsp,lwhlʾsp
wištāsp,wštʾsp̄
frāsiyāg,plʾsʾk
tūr,twl
har ēk,KRA#ʾywk
nišēm,nšy
uzdēstzār,ʾwcdaystcʾ
bašn,šn
baxl,bʾhl
bām,wʾm
šahr,štr's
nawāz,nwʾc
spandyād,spndyʾt
wahrām,wʾhlʾn
nēzag,nyck
zad,MHYTWNt
yabbū,ybb
xāgān,hʾkʾn
sinǰēbīk,sncypyk
čōl,cwl
xāgān,kʾn
gōhram,gwhlm
tuzāb,twcʾp̄
arǰāsp,ʾlcʾsp
hyōn,hywn
šāh,šʾh
wēz,wy
dwār,dwbʾ
xwārazm,hwʾlcm
narsēh,nsyh
ǰahūd,yhwt
yazgird,yẕddkrt
harē,hlʾӯ
hrōmāyīg,hlwmʾk
pōšang,pwšn
šāpuhr,šhp̄whl
ardašīr,ʾrtšyl
wuzurg,wcwl
tūs,tws
nōdar,nwtʾl
nō,9
zarēr,zlyl
bastūr,bstwl
karzam,klcm
ardašīr,ʾltšyl
pāhlēzag,phlyck
kāyēn,kʾyn'
luhrāsp,lwhlʾsp̄
dah,dhy
narsēh,nrsyh
ašk,ʾšk
kūmis,kwms
burg,bwlg
mān,m
pārs,pʾl
tāz,
nērōg,nylwḵ
pahrēz,pʾhl
ālag,ŠTLA
šād,<w>
wisp,wsp
hu,hw
frasp,plsp=ʾy
ē,100 80
frasang,plsng
wīst ud panǰ,20 <Y> [W] 5
ārešn,ʾlšn
bālā,bʾlʾ
ē,100 W 80
kōšk,kwšk'
dastgird,dstkrt
tīsifōn,tysp̄n
warāz,lʾ
gēw,gyp
nasībīn,nsyḇn'
ōrhāy,ʾwlyh
bābēl,bʾp̄yl
bast,bst
mārīg,mʾlyk
axtar,ahtl
nimud,nmwt
hērat,hylt
gumārd,gwmʾlt
hamadān,hmdʾn
dabr,dpl
māh,mh
nihāwand,nyhʾwnd
āwand,ʾwnd
xwānd,KLYTWNt
padišxwārgar,ptšhwʾlgl
kard ēstēd,klt YKOYMWNyt
az,ME
armāyīl,ʾlmʾyl
kōfyār,kwpydʾl
windād ēstād,wndʾt YKOYMWNʾt
haft,8
dumbāwand,dwmbʾwnd
wisēmagān,wsymkʾn
āhagān,ʾhkʾn
wispūhr,sp̄wtr'
sōbārān,swbʾlʾn
musragān,mwslkʾn
barōzān,blwcʾn
marinzān,mlyncʾn
šahryār,štr'ddʾl
mūsel,mwsl
gazīrag,gzylk
āmtūs,ʾmtws
kēsar,kysl
ē čahār,I 4
yaman,ymn
frīgā,plykʾ
kufah,kwpʾh
makkah,mkʾh
madīnag,mdyn'k
kābul,kʾp̄wl
raxwat,lhwt
rahām,lhʾm
gōdarz,gwtlc
asp,ʾsp̄
nar,nl
yabbū,ywb
bost,bst
bunag,bwng
frāh,plʾhw
zāwalestān,zʾwʾlstʾn
zarang,zlng
frāsiyāg,plʾsydʾk
karkōy,klkwd
manūščihr,mʾnšcyhl
gumēxt,gwmyht
awērān,ʾp̄ylʾn
afsārd,ʾp̄sʾlt
siyāwaš,sydʾwš
pābag,pʾp̄k
kirmān,klmʾn
staxr,stʾhl
ardawān,aldwʾn
dārāb,dʾlʾp̄
gird,krt
dārāy,dʾlʾy
ardaxšīr,ʾltšyl
tūz,tw
humāy,hwmʾd
nēw,TḆ
šūs,šws
šūstar,šwstl
šīšīnduxt,šyšyndwht
čiyōn,cygwm
rēšgalūdag,lyšglwtk
wandōy,wndwy
īšāpuhr,y
pīlābād,plʾp̄ʾt
nihād,HNHTWNʾt
nahr,nʾhl
tīr,ty
simrān,smlʾn
ādwēn,ʾtwbyn
maswar,mswl
ōzad,Y̱KTRWNt
āwurd,HYTYWNt
ārēst,ʾlhyst
ardaxšīr,ʾrtšyl
āsūr,ʾsyl
ōšag,ʾwšk
hagar,hkl
dōsar,dwwsl
borgil,bwlkl
gay,gʾy
flīp,pylp
nīd,DḆYLWNt͟y
xwāh,hwʾd
aškar,ʾškl
gušnasp,gwšsp
wan,wn'
gulaxš,gwlhš
drubušt,dlpwšt
arwand,ʾlwnd
asp,ʾsp
brādrōš,blʾtwlwš
karb,klp
ganz,gn
āmōy,ʾmwd
zand,zn
šahr,M
bagdād,bkdʾt
abūǰafar,ʾbwgʾp̄l
čiyōn,cygn
abūdawānīg,ʾbwdwʾnyk
āwāš,HTYMW
akōman,ʾkwmn
andar,ʾndl
sāwul,sʾwl
nāghēd,ʾkhyt
tariz,tʾlyc'
parward,plwlt
ruwān,lwbʾn'
pid,pyt
mād,mʾt
darak,dlk
wišād,kwšʾtn
hōmānāg,hwmʾnʾk
gugāy,gwkʾs
žanō bərəzō nərə garayō bərəzō mānō stārō māhyō hwarō anaγra raočå,žanō bərəzō nərə garayō bərəzō mānō stārō māhyō hwarō anaγra raočå
zānūg,zʾnwk
midarg,mytlg
stārag,st'l
dād,ʾt
nēk,nywkyh
bast ēstēd,bst YKOYMWNyt
kirbg,krpk
īsadwāstar,ystwʾstl
pādāšn,pʾtdʾšn
dah,YHWWN
wēh,wyh
yazad,yẕdt'
xwēdōdah,hwytwkds
nišāst,YTYBWNstn
gāhānbār,gʾsʾnbʾl
men,myn
andōh,ʾndwh
fragān,plkʾn
taxl,tʾhl
faryād,plyʾt
nibišt,npš
būd ēstād,bwt YKOYMWNʾt
se,300 20 Y 4
zīwād,zywʾt
ʾytlpʾd,ʾytlpʾd
az bahr ī,MN bʾhl Y
unknown,blwyc
kadēm,ktym
wihēzag,whyck
šaš,600 90#ʾywk
tʾmwk,tʾmwk
gazīrag,gcylk
zrēh,zlẖ
hērbed,hlpt
sad ud panǰāh,100 W 50
ēdōn čiyōn,ʾytwn' cygwn
zarduxšt,zltwhšt
čē rāy,ME lʾd
anēr,ʾnʾyl
gayōmart,gʾywkmlt
arzūr,ʾlzwl
ōzad,Y̱KTWNt'
mihrīh,myhlyh
mihriyānīh,myhlyʾnyh
rust,lwst
hōšang,hwšʾng
pēš,pyšdʾt
tahmurib,thmwlp
bārag,bʾlk'
kard,OḆYDWNt
zarmān,zlmʾn
paymān,ptmʾ
astōdānīhā,ʾstwkdʾnyhʾ
kand,knt
kand,kntn
framūd,plmw
baxš,HLKW
duxtar,dwhtl
pusar,pwsl
aburd,ʾbwlt
brād,AH
ōzad hēnd,Y̱KTWNt HWEd
manūščihr,mnwšcyhl
bērōn,bylwn
sām,sʾm
nirīmān,nylymʾn
sanāwēzag,snʾyck
hunušak,hwnwšk
frāsiyāg,plʾsyʾk
kay,kdʾ
ēreš,ʾylš
šēb,šp
stad,YNSḆWNt
lurāsp,lwlʾsp
abespurd,ʾp̄spwlt
haštdah,17
haštdah,18
warz,wlcʾ
pēšyōtan,pyšywtn'
kang,kng
diz,dc
māzdēsn,mʾẕdys͟n
ōšīdar,ʾwlšytl
čāš,cʾ
šabān,špʾn
ōšīdar,'wlšytl
ōzan,Y̱KTLW
