# https://webbook.nist.gov/cgi/fluid.cgi?Action=Data&Wide=on&ID=C7732185&Type=SatP&Digits=5&THigh=310&TLow=5&TInc=1&RefState=DEF&TUnit=C&PUnit=MPa&DUnit=mol%2Fl&HUnit=kJ%2Fmol&WUnit=m%2Fs&VisUnit=uPa*s&STUnit=N%2Fm
#
Temperature (C)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
119.00	0.19246	52.395	0.019086	8.9961	8.9998	27.331	66.137	76.418	1521.3	-0.16627	234.12	0.68211	0.055169	0.060460	16.540	45.538	48.722	128.62	29.079	39.117	481.29	53.473	12.892	0.026541
120.00	0.19867	52.350	0.019102	9.0725	9.0763	27.526	66.048	76.448	1519.9	-0.16561	232.03	0.68224	0.054968	0.062284	16.055	45.558	48.748	128.43	29.143	39.219	481.73	52.896	12.927	0.026652
121.00	0.20505	52.306	0.019118	9.1489	9.1528	27.720	65.958	76.478	1518.4	-0.16494	229.98	0.68237	0.054766	0.064153	15.588	45.578	48.774	128.24	29.208	39.322	482.17	52.327	12.961	0.026763
122.00	0.21159	52.260	0.019135	9.2254	9.2294	27.914	65.868	76.509	1517.0	-0.16426	227.96	0.68248	0.054564	0.066067	15.136	45.597	48.800	128.05	29.274	39.428	482.61	51.768	12.996	0.026874
123.00	0.21830	52.215	0.019152	9.3018	9.3060	28.107	65.779	76.540	1515.5	-0.16358	225.98	0.68258	0.054362	0.068027	14.700	45.617	48.826	127.87	29.341	39.535	483.04	51.219	13.030	0.026987
124.00	0.22518	52.170	0.019168	9.3784	9.3827	28.300	65.690	76.571	1513.9	-0.16290	224.02	0.68266	0.054159	0.070033	14.279	45.636	48.852	127.68	29.409	39.644	483.47	50.677	13.065	0.027100
125.00	0.23224	52.124	0.019185	9.4549	9.4593	28.492	65.602	76.603	1512.4	-0.16221	222.10	0.68274	0.053955	0.072086	13.872	45.656	48.877	127.49	29.478	39.754	483.90	50.145	13.100	0.027214
126.00	0.23947	52.078	0.019202	9.5315	9.5361	28.684	65.513	76.636	1510.8	-0.16152	220.21	0.68281	0.053751	0.074188	13.479	45.675	48.903	127.31	29.548	39.866	484.32	49.620	13.134	0.027329
127.00	0.24689	52.031	0.019219	9.6081	9.6128	28.876	65.425	76.669	1509.2	-0.16082	218.35	0.68286	0.053547	0.076340	13.099	45.694	48.928	127.13	29.619	39.981	484.74	49.104	13.169	0.027444
128.00	0.25450	51.985	0.019236	9.6847	9.6896	29.067	65.337	76.703	1507.6	-0.16012	216.52	0.68290	0.053343	0.078541	12.732	45.713	48.953	126.94	29.690	40.096	485.15	48.596	13.204	0.027560
129.00	0.26229	51.938	0.019254	9.7613	9.7664	29.258	65.249	76.737	1506.0	-0.15941	214.71	0.68293	0.053138	0.080792	12.377	45.732	48.978	126.76	29.763	40.214	485.56	48.095	13.238	0.027677
130.00	0.27028	51.891	0.019271	9.8380	9.8432	29.449	65.162	76.772	1504.3	-0.15869	212.94	0.68295	0.052932	0.083096	12.034	45.750	49.003	126.58	29.837	40.334	485.97	47.601	13.273	0.027795
131.00	0.27846	51.844	0.019289	9.9148	9.9201	29.639	65.075	76.807	1502.6	-0.15798	211.20	0.68296	0.052726	0.085452	11.702	45.769	49.028	126.40	29.912	40.455	486.37	47.115	13.307	0.027913
132.00	0.28685	51.797	0.019306	9.9915	9.9971	29.828	64.988	76.843	1500.9	-0.15725	209.48	0.68295	0.052520	0.087862	11.382	45.788	49.052	126.23	29.988	40.578	486.77	46.636	13.342	0.028032
133.00	0.29543	51.749	0.019324	10.068	10.074	30.018	64.901	76.880	1499.1	-0.15652	207.78	0.68294	0.052313	0.090325	11.071	45.806	49.077	126.05	30.065	40.703	487.16	46.163	13.376	0.028153
134.00	0.30423	51.701	0.019342	10.145	10.151	30.207	64.815	76.917	1497.3	-0.15579	206.12	0.68291	0.052106	0.092845	10.771	45.824	49.101	125.87	30.142	40.830	487.55	45.698	13.411	0.028273
135.00	0.31323	51.653	0.019360	10.222	10.228	30.395	64.729	76.955	1495.5	-0.15505	204.48	0.68288	0.051899	0.095420	10.480	45.843	49.125	125.70	30.221	40.959	487.94	45.238	13.445	0.028395
136.00	0.32245	51.604	0.019378	10.299	10.305	30.583	64.643	76.993	1493.7	-0.15430	202.86	0.68283	0.051691	0.098052	10.199	45.861	49.149	125.52	30.301	41.090	488.32	44.785	13.480	0.028517
137.00	0.33188	51.556	0.019397	10.376	10.382	30.771	64.558	77.032	1491.9	-0.15355	201.27	0.68277	0.051483	0.10074	9.9263	45.879	49.173	125.35	30.382	41.223	488.70	44.338	13.514	0.028641
138.00	0.34154	51.507	0.019415	10.453	10.459	30.959	64.472	77.071	1490.0	-0.15279	199.71	0.68270	0.051274	0.10349	9.6626	45.897	49.197	125.18	30.463	41.357	489.08	43.898	13.549	0.028765
139.00	0.35143	51.458	0.019433	10.530	10.537	31.146	64.387	77.111	1488.1	-0.15203	198.16	0.68262	0.051065	0.10630	9.4073	45.914	49.220	125.00	30.546	41.494	489.45	43.463	13.583	0.028890
140.00	0.36154	51.408	0.019452	10.607	10.614	31.333	64.303	77.152	1486.2	-0.15126	196.64	0.68253	0.050856	0.10917	9.1599	45.932	49.244	124.83	30.630	41.632	489.82	43.033	13.618	0.029016
141.00	0.37189	51.359	0.019471	10.684	10.691	31.519	64.218	77.193	1484.3	-0.15048	195.15	0.68242	0.050646	0.11210	8.9204	45.950	49.267	124.66	30.715	41.773	490.18	42.610	13.652	0.029142
142.00	0.38247	51.309	0.019490	10.761	10.769	31.705	64.134	77.235	1482.3	-0.14970	193.67	0.68231	0.050436	0.11510	8.6883	45.967	49.290	124.49	30.800	41.915	490.54	42.192	13.686	0.029270
143.00	0.39329	51.259	0.019509	10.838	10.846	31.891	64.051	77.278	1480.3	-0.14891	192.22	0.68218	0.050225	0.11816	8.4634	45.984	49.313	124.33	30.887	42.059	490.89	41.779	13.721	0.029398
144.00	0.40437	51.209	0.019528	10.915	10.923	32.076	63.967	77.321	1478.3	-0.14811	190.78	0.68205	0.050015	0.12128	8.2454	46.001	49.336	124.16	30.975	42.206	491.25	41.371	13.755	0.029527
145.00	0.41568	51.158	0.019547	10.993	11.001	32.261	63.884	77.364	1476.3	-0.14731	189.37	0.68190	0.049803	0.12447	8.0341	46.019	49.358	123.99	31.064	42.354	491.59	40.969	13.790	0.029657
146.00	0.42726	51.107	0.019567	11.070	11.078	32.445	63.801	77.409	1474.3	-0.14650	187.98	0.68175	0.049592	0.12773	7.8293	46.036	49.381	123.83	31.153	42.505	491.93	40.571	13.824	0.029788
147.00	0.43909	51.056	0.019586	11.147	11.156	32.630	63.718	77.454	1472.2	-0.14569	186.61	0.68158	0.049380	0.13105	7.6307	46.052	49.403	123.66	31.244	42.657	492.27	40.178	13.858	0.029920
148.00	0.45118	51.005	0.019606	11.225	11.234	32.814	63.636	77.500	1470.1	-0.14487	185.26	0.68140	0.049167	0.13444	7.4381	46.069	49.425	123.50	31.335	42.812	492.61	39.790	13.893	0.030053
149.00	0.46354	50.953	0.019626	11.302	11.311	32.997	63.554	77.546	1468.0	-0.14404	183.92	0.68121	0.048954	0.13791	7.2513	46.086	49.447	123.33	31.428	42.968	492.94	39.407	13.927	0.030187
150.00	0.47616	50.902	0.019646	11.380	11.389	33.181	63.472	77.593	1465.8	-0.14320	182.61	0.68102	0.048741	0.14144	7.0701	46.102	49.469	123.17	31.521	43.127	493.26	39.028	13.961	0.030321
151.00	0.48907	50.850	0.019666	11.457	11.467	33.364	63.391	77.641	1463.7	-0.14236	181.32	0.68081	0.048528	0.14505	6.8943	46.118	49.490	123.01	31.616	43.287	493.59	38.654	13.996	0.030457
152.00	0.50225	50.798	0.019686	11.535	11.544	33.546	63.309	77.689	1461.5	-0.14151	180.04	0.68059	0.048314	0.14873	6.7238	46.135	49.512	122.85	31.711	43.450	493.90	38.284	14.030	0.030594
153.00	0.51571	50.745	0.019706	11.612	11.622	33.728	63.229	77.739	1459.3	-0.14065	178.78	0.68036	0.048100	0.15248	6.5582	46.151	49.533	122.69	31.808	43.615	494.22	37.919	14.064	0.030731
154.00	0.52946	50.692	0.019727	11.690	11.700	33.910	63.148	77.788	1457.1	-0.13978	177.54	0.68012	0.047885	0.15631	6.3976	46.167	49.554	122.53	31.905	43.782	494.53	37.557	14.098	0.030869
155.00	0.54350	50.639	0.019747	11.767	11.778	34.092	63.068	77.839	1454.8	-0.13891	176.31	0.67987	0.047670	0.16022	6.2416	46.182	49.575	122.37	32.003	43.950	494.83	37.200	14.133	0.031009
156.00	0.55784	50.586	0.019768	11.845	11.856	34.273	62.988	77.890	1452.5	-0.13803	175.10	0.67961	0.047455	0.16420	6.0901	46.198	49.595	122.21	32.102	44.122	495.13	36.847	14.167	0.031149
157.00	0.57247	50.533	0.019789	11.923	11.934	34.454	62.908	77.942	1450.3	-0.13714	173.91	0.67934	0.047240	0.16826	5.9431	46.213	49.616	122.06	32.202	44.295	495.43	36.498	14.201	0.031291
158.00	0.58742	50.479	0.019810	12.001	12.012	34.635	62.829	77.995	1447.9	-0.13624	172.73	0.67920	0.047024	0.17241	5.8002	46.229	49.636	121.90	32.303	44.470	495.72	36.153	14.235	0.031433
159.00	0.60267	50.425	0.019831	12.079	12.091	34.816	62.750	78.048	1445.6	-0.13534	171.57	0.67898	0.046807	0.17663	5.6615	46.244	49.656	121.74	32.405	44.647	496.01	35.811	14.269	0.031576
160.00	0.61823	50.371	0.019853	12.157	12.169	34.996	62.671	78.103	1443.2	-0.13443	170.43	0.67873	0.046591	0.18094	5.5268	46.259	49.676	121.59	32.508	44.827	496.29	35.474	14.304	0.031721
161.00	0.63412	50.317	0.019874	12.235	12.247	35.176	62.593	78.158	1440.9	-0.13350	169.30	0.67846	0.046374	0.18533	5.3958	46.274	49.696	121.43	32.611	45.008	496.57	35.140	14.338	0.031866
162.00	0.65033	50.262	0.019896	12.313	12.325	35.355	62.514	78.213	1438.5	-0.13257	168.19	0.67818	0.046156	0.18980	5.2686	46.289	49.715	121.28	32.716	45.192	496.85	34.810	14.372	0.032012
163.00	0.66686	50.207	0.019917	12.391	12.404	35.534	62.437	78.270	1436.0	-0.13164	167.09	0.67789	0.045939	0.19437	5.1449	46.304	49.735	121.13	32.821	45.378	497.12	34.483	14.406	0.032160
164.00	0.68373	50.152	0.019939	12.469	12.482	35.713	62.359	78.327	1433.6	-0.13069	166.00	0.67758	0.045721	0.19901	5.0247	46.318	49.754	120.97	32.927	45.566	497.39	34.160	14.440	0.032308
165.00	0.70093	50.097	0.019961	12.547	12.561	35.892	62.282	78.385	1431.1	-0.12973	164.93	0.67726	0.045503	0.20375	4.9079	46.333	49.773	120.82	33.034	45.756	497.65	33.841	14.474	0.032458
166.00	0.71848	50.041	0.019984	12.625	12.639	36.070	62.205	78.444	1428.7	-0.12877	163.87	0.67694	0.045284	0.20858	4.7943	46.347	49.791	120.67	33.142	45.948	497.91	33.525	14.508	0.032608
167.00	0.73638	49.985	0.020006	12.703	12.718	36.248	62.128	78.504	1426.2	-0.12779	162.83	0.67660	0.045065	0.21350	4.6839	46.361	49.810	120.52	33.250	46.143	498.16	33.213	14.542	0.032760
168.00	0.75462	49.929	0.020028	12.782	12.797	36.426	62.052	78.564	1423.6	-0.12681	161.80	0.67625	0.044846	0.21851	4.5764	46.375	49.828	120.37	33.360	46.340	498.41	32.903	14.577	0.032912
169.00	0.77322	49.873	0.020051	12.860	12.876	36.604	61.976	78.625	1421.1	-0.12581	160.78	0.67589	0.044626	0.22362	4.4719	46.389	49.847	120.22	33.470	46.538	498.65	32.598	14.611	0.033066
170.00	0.79219	49.816	0.020074	12.939	12.954	36.781	61.900	78.687	1418.5	-0.12481	159.77	0.67552	0.044406	0.22882	4.3703	46.402	49.864	120.07	33.581	46.740	498.89	32.295	14.645	0.033221
171.00	0.81152	49.759	0.020097	13.017	13.033	36.958	61.825	78.750	1415.9	-0.12380	158.78	0.67514	0.044186	0.23411	4.2714	46.416	49.882	119.92	33.693	46.943	499.13	31.996	14.679	0.033377
172.00	0.83122	49.702	0.020120	13.096	13.112	37.135	61.750	78.814	1413.3	-0.12277	157.80	0.67475	0.043965	0.23951	4.1752	46.429	49.900	119.78	33.805	47.148	499.36	31.699	14.713	0.033534
173.00	0.85130	49.645	0.020143	13.174	13.191	37.311	61.675	78.879	1410.7	-0.12174	156.83	0.67435	0.043745	0.24500	4.0816	46.442	49.917	119.63	33.919	47.356	499.58	31.406	14.747	0.033692
174.00	0.87176	49.587	0.020167	13.253	13.271	37.487	61.601	78.944	1408.0	-0.12070	155.88	0.67394	0.043523	0.25060	3.9905	46.455	49.934	119.48	34.033	47.566	499.81	31.117	14.781	0.033852
175.00	0.89260	49.529	0.020190	13.332	13.350	37.663	61.527	79.011	1405.4	-0.11965	154.93	0.67352	0.043302	0.25629	3.9018	46.468	49.951	119.34	34.148	47.778	500.02	30.830	14.815	0.034012
176.00	0.91384	49.471	0.020214	13.410	13.429	37.839	61.453	79.078	1402.7	-0.11858	154.00	0.67309	0.043080	0.26209	3.8154	46.481	49.968	119.19	34.263	47.993	500.24	30.546	14.849	0.034174
177.00	0.93547	49.413	0.020238	13.489	13.508	38.014	61.379	79.146	1400.0	-0.11751	153.08	0.67265	0.042858	0.26800	3.7314	46.494	49.984	119.05	34.379	48.210	500.44	30.265	14.883	0.034336
178.00	0.95751	49.354	0.020262	13.568	13.588	38.190	61.306	79.216	1397.2	-0.11642	152.17	0.67220	0.042636	0.27401	3.6495	46.506	50.000	118.90	34.496	48.429	500.65	29.987	14.917	0.034500
179.00	0.97995	49.295	0.020286	13.647	13.667	38.364	61.233	79.286	1394.5	-0.11532	151.27	0.67174	0.042413	0.28013	3.5698	46.518	50.016	118.76	34.614	48.650	500.85	29.712	14.951	0.034666
180.00	1.0028	49.236	0.020310	13.726	13.747	38.539	61.160	79.357	1391.7	-0.11422	150.38	0.67128	0.042190	0.28636	3.4921	46.530	50.032	118.61	34.732	48.874	501.04	29.440	14.985	0.034832
181.00	1.0261	49.177	0.020335	13.805	13.826	38.714	61.088	79.429	1388.9	-0.11310	149.50	0.67080	0.041967	0.29270	3.4165	46.542	50.048	118.47	34.851	49.100	501.23	29.171	15.019	0.034999
182.00	1.0498	49.117	0.020360	13.885	13.906	38.888	61.016	79.502	1386.1	-0.11197	148.64	0.67031	0.041743	0.29915	3.3428	46.554	50.063	118.33	34.971	49.328	501.41	28.905	15.053	0.035168
183.00	1.0739	49.057	0.020385	13.964	13.986	39.062	60.945	79.575	1383.3	-0.11082	147.78	0.66982	0.041520	0.30572	3.2710	46.566	50.078	118.19	35.091	49.558	501.59	28.642	15.087	0.035338
184.00	1.0985	48.997	0.020410	14.043	14.065	39.235	60.873	79.650	1380.4	-0.10967	146.93	0.66931	0.041296	0.31240	3.2010	46.577	50.093	118.04	35.212	49.791	501.77	28.381	15.121	0.035509
185.00	1.1235	48.936	0.020435	14.122	14.145	39.409	60.802	79.726	1377.5	-0.10850	146.09	0.66880	0.041071	0.31920	3.1329	46.588	50.108	117.90	35.334	50.027	501.94	28.123	15.155	0.035682
186.00	1.1489	48.875	0.020460	14.202	14.225	39.582	60.731	79.803	1374.6	-0.10733	145.26	0.66828	0.040847	0.32611	3.0664	46.599	50.122	117.76	35.456	50.265	502.11	27.868	15.189	0.035856
187.00	1.1748	48.814	0.020486	14.281	14.305	39.755	60.661	79.881	1371.7	-0.10613	144.44	0.66775	0.040622	0.33315	3.0016	46.610	50.136	117.62	35.579	50.505	502.27	27.615	15.223	0.036031
188.00	1.2011	48.753	0.020512	14.361	14.386	39.928	60.591	79.960	1368.8	-0.10493	143.63	0.66720	0.040397	0.34031	2.9385	46.621	50.150	117.48	35.703	50.747	502.43	27.365	15.257	0.036207
189.00	1.2280	48.691	0.020537	14.441	14.466	40.101	60.521	80.040	1365.8	-0.10371	142.83	0.66665	0.040171	0.34759	2.8769	46.631	50.164	117.34	35.827	50.993	502.58	27.118	15.291	0.036384
190.00	1.2552	48.630	0.020564	14.520	14.546	40.273	60.451	80.121	1362.9	-0.10248	142.04	0.66609	0.039945	0.35500	2.8169	46.642	50.178	117.21	35.951	51.240	502.72	26.873	15.325	0.036563
191.00	1.2830	48.568	0.020590	14.600	14.626	40.445	60.382	80.203	1359.9	-0.10124	141.26	0.66553	0.039719	0.36253	2.7584	46.652	50.191	117.07	36.077	51.490	502.87	26.631	15.359	0.036743
192.00	1.3112	48.505	0.020616	14.680	14.707	40.617	60.313	80.286	1356.9	-0.099985	140.49	0.66495	0.039493	0.37020	2.7013	46.662	50.204	116.93	36.203	51.743	503.00	26.392	15.393	0.036925
193.00	1.3399	48.442	0.020643	14.760	14.788	40.789	60.245	80.371	1353.8	-0.098715	139.72	0.66436	0.039267	0.37799	2.6456	46.672	50.217	116.79	36.329	51.998	503.14	26.154	15.428	0.037108
194.00	1.3691	48.379	0.020670	14.840	14.868	40.960	60.177	80.456	1350.8	-0.097431	138.96	0.66377	0.039040	0.38592	2.5912	46.681	50.229	116.66	36.456	52.256	503.26	25.920	15.462	0.037292
195.00	1.3988	48.316	0.020697	14.920	14.949	41.132	60.109	80.543	1347.7	-0.096133	138.21	0.66317	0.038813	0.39398	2.5382	46.691	50.241	116.52	36.584	52.516	503.39	25.688	15.496	0.037478
196.00	1.4290	48.253	0.020724	15.000	15.030	41.303	60.041	80.631	1344.6	-0.094820	137.47	0.66255	0.038586	0.40217	2.4865	46.700	50.253	116.38	36.712	52.779	503.50	25.458	15.530	0.037664
197.00	1.4597	48.189	0.020752	15.080	15.111	41.474	59.974	80.720	1341.5	-0.093493	136.74	0.66193	0.038358	0.41051	2.4360	46.709	50.265	116.25	36.841	53.045	503.62	25.231	15.564	0.037853
198.00	1.4909	48.125	0.020779	15.161	15.192	41.644	59.907	80.810	1338.4	-0.092151	136.01	0.66130	0.038131	0.41898	2.3867	46.718	50.277	116.11	36.970	53.313	503.72	25.006	15.598	0.038043
199.00	1.5227	48.061	0.020807	15.241	15.273	41.815	59.840	80.901	1335.2	-0.090793	135.29	0.66066	0.037903	0.42759	2.3387	46.727	50.288	115.98	37.100	53.584	503.83	24.784	15.632	0.038234
200.00	1.5549	47.996	0.020835	15.321	15.354	41.985	59.773	80.994	1332.1	-0.089421	134.58	0.66001	0.037675	0.43635	2.2917	46.735	50.299	115.84	37.230	53.857	503.92	24.564	15.666	0.038426
201.00	1.5877	47.931	0.020863	15.402	15.435	42.155	59.707	81.088	1328.9	-0.088033	133.88	0.65936	0.037446	0.44525	2.2459	46.744	50.309	115.71	37.361	54.134	504.02	24.346	15.700	0.038620
202.00	1.6210	47.866	0.020892	15.483	15.517	42.325	59.642	81.183	1325.6	-0.086628	133.19	0.65869	0.037217	0.45430	2.2012	46.752	50.320	115.57	37.492	54.413	504.10	24.131	15.735	0.038816
203.00	1.6549	47.800	0.020920	15.563	15.598	42.495	59.576	81.279	1322.4	-0.085208	132.50	0.65802	0.036989	0.46350	2.1575	46.760	50.330	115.44	37.624	54.695	504.19	23.918	15.769	0.039013
204.00	1.6893	47.734	0.020949	15.644	15.680	42.665	59.511	81.377	1319.2	-0.083772	131.82	0.65734	0.036760	0.47285	2.1148	46.767	50.340	115.31	37.756	54.981	504.26	23.707	15.803	0.039212
205.00	1.7243	47.668	0.020978	15.725	15.761	42.834	59.446	81.476	1315.9	-0.082318	131.14	0.65665	0.036530	0.48236	2.0732	46.775	50.350	115.17	37.889	55.268	504.33	23.498	15.837	0.039412
206.00	1.7598	47.602	0.021008	15.806	15.843	43.003	59.382	81.576	1312.6	-0.080848	130.47	0.65595	0.036301	0.49201	2.0325	46.782	50.359	115.04	38.023	55.559	504.40	23.292	15.871	0.039613
207.00	1.7959	47.535	0.021037	15.887	15.925	43.172	59.317	81.678	1309.3	-0.079361	129.81	0.65524	0.036071	0.50183	1.9927	46.789	50.368	114.91	38.157	55.853	504.46	23.087	15.906	0.039816
208.00	1.8326	47.468	0.021067	15.968	16.007	43.341	59.253	81.781	1306.0	-0.077856	129.16	0.65452	0.035841	0.51180	1.9539	46.796	50.377	114.77	38.291	56.150	504.52	22.885	15.940	0.040021
209.00	1.8698	47.401	0.021097	16.049	16.089	43.510	59.190	81.885	1302.6	-0.076333	128.51	0.65380	0.035611	0.52194	1.9159	46.803	50.385	114.64	38.426	56.450	504.57	22.685	15.974	0.040227
210.00	1.9077	47.333	0.021127	16.131	16.171	43.679	59.127	81.991	1299.3	-0.074792	127.87	0.65306	0.035381	0.53224	1.8788	46.809	50.394	114.51	38.562	56.754	504.61	22.487	16.009	0.040435
211.00	1.9461	47.265	0.021157	16.212	16.253	43.847	59.064	82.099	1295.9	-0.073233	127.23	0.65232	0.035150	0.54271	1.8426	46.816	50.402	114.38	38.698	57.060	504.66	22.291	16.043	0.040645
212.00	1.9851	47.197	0.021188	16.294	16.336	44.015	59.001	82.207	1292.5	-0.071655	126.60	0.65157	0.034919	0.55334	1.8072	46.822	50.409	114.25	38.834	57.370	504.69	22.098	16.078	0.040856
213.00	2.0247	47.128	0.021219	16.375	16.418	44.184	58.939	82.318	1289.0	-0.070058	125.98	0.65081	0.034688	0.56415	1.7726	46.828	50.417	114.12	38.971	57.683	504.72	21.906	16.112	0.041069
214.00	2.0650	47.059	0.021250	16.457	16.501	44.352	58.877	82.429	1285.6	-0.068441	125.36	0.65004	0.034457	0.57512	1.7388	46.833	50.424	113.99	39.109	57.999	504.74	21.717	16.147	0.041283
215.00	2.1058	46.990	0.021281	16.539	16.584	44.519	58.815	82.543	1282.1	-0.066805	124.75	0.64927	0.034226	0.58628	1.7057	46.839	50.430	113.86	39.247	58.319	504.76	21.529	16.181	0.041499
216.00	2.1473	46.921	0.021313	16.621	16.666	44.687	58.754	82.658	1278.6	-0.065148	124.14	0.64848	0.033994	0.59761	1.6733	46.844	50.437	113.73	39.385	58.642	504.77	21.343	16.216	0.041717
217.00	2.1894	46.851	0.021344	16.703	16.749	44.855	58.693	82.774	1275.1	-0.063471	123.54	0.64769	0.033763	0.60912	1.6417	46.849	50.443	113.60	39.524	58.969	504.78	21.160	16.250	0.041937
218.00	2.2322	46.781	0.021376	16.785	16.832	45.022	58.632	82.892	1271.6	-0.061774	122.94	0.64689	0.033531	0.62081	1.6108	46.853	50.449	113.47	39.664	59.299	504.78	20.978	16.285	0.042158
219.00	2.2756	46.710	0.021409	16.867	16.916	45.189	58.571	83.012	1268.1	-0.060055	122.35	0.64608	0.033299	0.63269	1.5806	46.858	50.455	113.34	39.804	59.633	504.78	20.798	16.320	0.042381
220.00	2.3196	46.639	0.021441	16.949	16.999	45.357	58.511	83.134	1264.5	-0.058314	121.77	0.64526	0.033067	0.64475	1.5510	46.862	50.460	113.21	39.944	59.970	504.77	20.620	16.354	0.042606
221.00	2.3643	46.568	0.021474	17.031	17.082	45.524	58.452	83.257	1260.9	-0.056552	121.19	0.64444	0.032834	0.65701	1.5220	46.866	50.465	113.08	40.085	60.312	504.75	20.444	16.389	0.042833
222.00	2.4096	46.497	0.021507	17.114	17.166	45.690	58.392	83.382	1257.3	-0.054767	120.61	0.64360	0.032602	0.66946	1.4937	46.870	50.469	112.95	40.227	60.657	504.73	20.270	16.424	0.043061
223.00	2.4556	46.425	0.021540	17.197	17.249	45.857	58.333	83.509	1253.7	-0.052960	120.04	0.64276	0.032369	0.68210	1.4661	46.874	50.474	112.82	40.369	61.006	504.70	20.097	16.459	0.043292
224.00	2.5023	46.353	0.021574	17.279	17.333	46.024	58.274	83.637	1250.0	-0.051129	119.48	0.64191	0.032136	0.69494	1.4390	46.877	50.478	112.69	40.511	61.359	504.67	19.927	16.494	0.043524
225.00	2.5497	46.280	0.021608	17.362	17.417	46.190	58.216	83.767	1246.4	-0.049275	118.92	0.64105	0.031903	0.70798	1.4125	46.880	50.481	112.56	40.654	61.716	504.63	19.758	16.529	0.043759
226.00	2.5978	46.207	0.021642	17.445	17.501	46.357	58.158	83.900	1242.7	-0.047396	118.37	0.64018	0.031670	0.72123	1.3865	46.883	50.485	112.44	40.798	62.078	504.59	19.591	16.564	0.043995
227.00	2.6466	46.134	0.021676	17.528	17.585	46.523	58.100	84.034	1239.0	-0.045494	117.82	0.63931	0.031437	0.73468	1.3611	46.886	50.488	112.31	40.942	62.443	504.54	19.426	16.599	0.044233
228.00	2.6960	46.060	0.021711	17.611	17.670	46.689	58.042	84.170	1235.3	-0.043566	117.27	0.63842	0.031204	0.74834	1.3363	46.888	50.491	112.18	41.086	62.813	504.48	19.262	16.634	0.044473
229.00	2.7462	45.986	0.021746	17.694	17.754	46.855	57.985	84.308	1231.5	-0.041613	116.73	0.63753	0.030970	0.76222	1.3120	46.890	50.493	112.05	41.232	63.188	504.42	19.100	16.669	0.044716
230.00	2.7971	45.912	0.021781	17.778	17.839	47.021	57.928	84.448	1227.8	-0.039634	116.19	0.63663	0.030736	0.77630	1.2882	46.892	50.495	111.93	41.377	63.566	504.35	18.940	16.705	0.044960
231.00	2.8487	45.837	0.021816	17.861	17.923	47.187	57.872	84.590	1224.0	-0.037629	115.66	0.63572	0.030503	0.79061	1.2648	46.893	50.497	111.80	41.524	63.950	504.28	18.781	16.740	0.045206
232.00	2.9010	45.762	0.021852	17.945	18.008	47.353	57.816	84.734	1220.2	-0.035597	115.13	0.63480	0.030269	0.80514	1.2420	46.895	50.498	111.67	41.670	64.338	504.19	18.625	16.776	0.045455
233.00	2.9541	45.687	0.021888	18.028	18.093	47.519	57.760	84.880	1216.4	-0.033537	114.61	0.63388	0.030035	0.81989	1.2197	46.896	50.499	111.54	41.818	64.731	504.11	18.469	16.811	0.045706
234.00	3.0080	45.611	0.021924	18.112	18.178	47.685	57.705	85.029	1212.5	-0.031450	114.09	0.63294	0.029801	0.83487	1.1978	46.897	50.500	111.42	41.966	65.128	504.01	18.316	16.847	0.045959
235.00	3.0625	45.535	0.021961	18.196	18.263	47.850	57.649	85.179	1208.7	-0.029334	113.57	0.63200	0.029566	0.85008	1.1764	46.897	50.500	111.29	42.114	65.531	503.91	18.164	16.882	0.046214
236.00	3.1179	45.459	0.021998	18.280	18.349	48.016	57.595	85.332	1204.8	-0.027189	113.06	0.63105	0.029332	0.86553	1.1554	46.898	50.500	111.16	42.263	65.939	503.81	18.013	16.918	0.046471
237.00	3.1740	45.382	0.022035	18.364	18.434	48.181	57.540	85.487	1200.9	-0.025015	112.56	0.63009	0.029098	0.88121	1.1348	46.898	50.499	111.04	42.413	66.352	503.69	17.864	16.954	0.046731
238.00	3.2308	45.304	0.022073	18.449	18.520	48.346	57.486	85.645	1196.9	-0.022810	112.05	0.62913	0.028863	0.89713	1.1147	46.897	50.499	110.91	42.563	66.770	503.58	17.717	16.990	0.046993
239.00	3.2885	45.227	0.022111	18.533	18.606	48.512	57.433	85.805	1193.0	-0.020575	111.55	0.62815	0.028628	0.91330	1.0949	46.897	50.498	110.78	42.714	67.194	503.45	17.571	17.026	0.047258
240.00	3.3469	45.149	0.022149	18.618	18.692	48.677	57.379	85.967	1189.0	-0.018308	111.06	0.62717	0.028394	0.92971	1.0756	46.896	50.496	110.66	42.866	67.623	503.32	17.426	17.062	0.047525
